Iteration,Setpoint Average,Resources Harvested,Net Reward,Standard Deviation for Setpoints,Duration (seconds),,
424,-60,6,19996.343632,60,16,,
425,-51,1,388.912554,39,7,,
426,-55,0,425.757334,42,6,,
427,-52,1,1093.916796,45,8,,
428,-53,1,1372.186002,44,8,,
429,-52,1,471.699573,44,7,,
430,-52,1,1005.26264,46,8,,
431,-54,0,439.204943,42,6,,
432,-55,1,626.283705,45,7,,
433,-55,0,871.859015,42,6,,
434,-41,5,10435.314448,52,12,,
435,-59,1,877.233048,55,8,,
436,-54,0,442.810027,42,6,,
437,-57,2,500.615426,48,7,,
438,-49,2,449.279514,40,8,,
439,-54,0,428.873907,42,6,,
440,-54,0,449.690795,42,6,,
441,-56,0,829.72711,44,6,,
442,-57,2,4460.045005,51,9,,
443,-53,4,5972.879967,48,10,,
444,-55,2,831.679908,44,7,,
445,-56,1,439.554025,46,7,,
446,-56,4,8342.191648,51,11,,
447,-54,3,550.076623,45,8,,
448,-51,2,440.583371,39,7,,
449,-48,2,1160.827809,52,8,,
450,-55,0,1452.719935,42,6,,
451,-45,1,5640.897612,53,8,,
452,-52,6,3522.221534,47,11,,
453,-54,4,673.444061,51,9,,
454,-54,1,441.057567,41,6,,
455,-47,4,4971.319086,49,10,,
456,-55,0,471.031447,42,6,,
457,-44,3,8940.333761,55,9,,
458,-53,0,403.423026,41,6,,
459,-53,2,536.899626,49,8,,
460,-55,0,451.78361,43,6,,
461,-55,0,817.170135,42,6,,
462,-54,1,604.444442,41,6,,
463,-55,0,704.88816,42,6,,
464,-54,0,620.124236,42,6,,
465,-54,2,1523.394732,51,8,,
466,-54,1,1091.456944,49,8,,
467,-55,0,463.958478,43,6,,
468,-58,2,584.600456,51,8,,
469,-55,0,555.138426,42,6,,
470,-55,0,464.760345,42,6,,
471,-49,5,19995.3072,57,12,,
472,-53,1,1005.632525,52,8,,
473,-55,0,437.003843,42,6,,
474,-54,0,931.307717,42,6,,
475,-56,0,716.76508,44,6,,
476,-56,1,1560.904604,47,8,,
477,-55,0,506.857684,42,6,,
478,-48,1,2478.044638,40,7,,
479,-55,0,458.264934,42,6,,
480,-55,0,428.702742,42,6,,
481,-54,0,455.493404,42,6,,
482,-53,1,504.808448,41,7,,
483,-59,2,647.512139,54,8,,
484,-55,0,551.293267,42,6,,
485,-49,3,5481.494592,53,10,,
486,-55,0,422.946333,42,6,,
487,-55,0,447.722276,43,6,,
488,-54,0,390.169758,41,6,,
489,-54,1,424.4573,41,6,,
490,-55,0,448.517837,42,6,,
491,-51,4,5805.869934,47,10,,
492,-53,1,441.746658,41,7,,
493,-55,0,441.795421,42,6,,
494,-59,5,1020.180329,60,11,,
495,-53,1,1360.977887,41,7,,
496,-52,2,566.349194,42,9,,
497,-48,2,2409.750406,48,9,,
498,-56,1,899.187772,47,8,,
499,-44,6,15512.81308,55,14,,
500,-53,2,1115.560333,52,8,,
501,-53,2,1326.53685,48,9,,
502,-62,8,23095.73007,66,18,,
503,-57,1,555.564934,48,7,,
504,-57,1,488.091715,49,7,,
505,-55,0,449.606877,42,6,,
506,-56,1,1236.558619,48,8,,
507,-54,0,456.735141,42,6,,
508,-52,1,443.833936,44,7,,
509,-55,0,472.136674,43,6,,
510,-59,2,2821.131211,55,9,,
511,-55,0,441.439706,43,6,,
512,-56,2,561.155823,47,8,,
513,-50,1,4261.301024,44,8,,
514,-39,8,16619.866516,55,16,,
515,-50,1,777.864148,42,7,,
516,-55,0,459.740249,42,6,,
517,-45,2,5221.981772,58,10,,
518,-56,2,488.487747,49,8,,
519,-56,1,498.987409,46,7,,
520,-48,1,4201.223985,55,8,,
521,-47,3,5865.426653,47,10,,
522,-54,2,1545.372569,59,9,,
523,-59,1,928.941344,53,8,,
524,-54,1,2802.205849,45,8,,
525,-54,3,2984.793814,59,10,,
526,-51,1,408.865521,39,6,,
527,-55,0,449.567078,42,6,,
528,-52,2,1321.240247,43,9,,
529,-53,1,425.927908,41,7,,
530,-51,4,2137.571118,41,10,,
531,-51,3,3461.450198,51,9,,
532,-58,2,2313.109941,53,10,,
533,-53,1,617.471137,44,7,,
534,-56,2,4428.18125,48,8,,
535,-54,0,416.376851,42,6,,
536,-55,0,631.751418,43,6,,
537,-49,4,7049.492923,56,11,,
538,-54,1,542.463649,46,7,,
539,-50,4,6560.862542,55,10,,
540,-53,1,905.765141,47,8,,
541,-55,0,598.197503,42,6,,
542,-58,3,4884.104239,55,10,,
543,-45,4,6909.753142,55,11,,
544,-55,0,474.814292,43,6,,
545,-54,0,429.543898,41,6,,
546,-48,2,2501.264182,46,8,,
547,-55,0,938.156039,42,6,,
548,-49,1,5044.335449,55,8,,
549,-53,3,11630.262881,52,12,,
550,-58,0,454.601079,50,7,,
551,-53,2,3507.812576,42,8,,
552,-53,4,2358.942065,44,9,,
553,-49,3,6744.628196,53,9,,
554,-49,2,8060.972445,52,10,,
